Metabolite	Formula	Polarity (z)	Ion Mode	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S05601	S05602	S05603	S05604	S05605	S05606	S05607	S05608	S05609	S05610	S05611	S05612	S05613	S05614	S05615	SQ363_B_0	SQ363_B_1	SQ363_B_2	SQ363_B_3	SQ363_B_4	SQ363_B_5
1-Methylnicotinamide	C7H8N2O	+	ESI	19	21	10	0.2	137.0709	137.0707	-1.8	S05609	20.31	20.08	20.54	0.46	24	4913	6866	11738	7234	8369	7593	6449	4237	15018	4471	9404	8328	6861	3730	6735	7207	8898	6628	6278	5689	6540
"2,3-Diphosphoglyceric acid"	C3H8O10P2	-	ESI	12	15	10	0.2	264.952	264.9498	-8.3	S05613	14.65	14.6	14.89	0.28	24	5350	4801	7400	5223	11217	9260	11621	5613	6918	10833	5051	6377	12900	9469	10575	7109	8632	10280	7583	5115	2872
3-Hydroxybutyric acid	C4H8O3	-	ESI	5.7	7.7	10	0.2	103.0401	103.039	-10	S05610	7.05	6.89	7.27	0.37	18	54809	0	0	28953	0	0	3045	4450	1876	75081	0	0	16327	7637	20047	2791	2419	4576	4923	2955	3560
3-Phosphoglyceric acid	C3H7O7P	-	ESI	13	15	10	0.2	184.9857	184.9846	-5.6	S05609	14.29	14.24	14.53	0.29	24	6701	5425	13577	5960	9604	7899	25093	1626	25812	8027	1569	13708	11274	4134	6082	4046	1858	7658	1804	1965	1654
"4,5-Dihydroorotic acid"	C5H6N2O4	-	ESI	7.5	9.5	10	0.2	157.0255	157.0245	-6.2	S05602	8.46	8.21	8.7	0.49	24	24133	31885	24061	17354	17098	14122	7248	8252	6878	14256	14475	14582	11557	10343	13073	7295	6950	6960	8043	7249	6608
4-Hydroxyproline	C5H9NO3	+	ESI	10.2	11.2	10	0.2	132.0655	132.0657	1.1	S05612	10.84	10.61	10.91	0.3	24	108439232	99864280	108991312	112813536	109575168	96232016	5976746	5070082	6638266	122911416	108796232	156099728	52909992	34992188	45204972	7328219	38630	6171402	51844	668325	29319
5'-Methylthioadenosine	C11H15N5O3S	+	ESI	3	5	10	0.2	298.0968	298.0956	-4.3	S05601	4.27	4.04	4.41	0.38	23	558904	490612	465472	251705	174343	241158	95119	109427	202785	220447	221310	404230	112193	41197	116446	9481	0	14261	3152	2233	2435
5-Phosphoribosylamine	C5H12NO7P	-	ESI	11.5	13.5	10	0.2	228.0279	228.0275	-1.5	S05612	13.26	13.03	13.47	0.44	8	0	0	0	0	0	1247	0	0	1660	1952	0	2522	1855	0	0	0	0	1576	0	0	0
6-Phosphogluconic acid	C6H13O10P	-	ESI	14	17	10	0.2	275.0174	275.0151	-8.3	S05613	14.96	14.96	15.21	0.25	2	0	0	1571	0	0	0	0	0	0	0	0	0	3856	0	0	0	0	0	0	0	0
Acetoacetic acid	C4H6O3	-	ESI	8.3	10.3	10	0.2	101.0244	101.0234	-9.9	S05603	9.35	9.23	9.51	0.28	11	3221	17230	29466	0	6610	7343	0	13785	0	8556	9883	0	16375	0	20944	0	0	0	13403	0	0
Acetyl-CoA	C23H38N7O17P3S	+	ESI	8	11	10	0.2	810.1331	810.1268	-7.8	S05603	9.75	9.56	9.75	0.19	3	7263	5746	16369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetylcysteine	C5H9NO3S	+	ESI	6	8	10	0.2	164.0376	164.0377	0.4	S05603	7.02	6.9	7.11	0.22	13	84710	88884	95197	14746	8694	31691	2458	0	0	10596	9706	69217	4945	4793	6553	0	0	0	0	0	0
Adenine	C5H5N5	+	ESI	5	7	10	0.2	136.0618	136.0615	-1.9	S05602	6.36	6.11	6.39	0.28	24	3585853	5004114	3044058	3698996	4223289	2600449	3067895	3051836	1065497	3770040	4155310	2419148	3330919	2165767	4021700	94537	69059	80505	68486	65604	71074
Adenosine	C10H13N5O4	+	ESI	4.5	7	10	0.2	268.104	268.103	-3.9	SQ363_B_0	5.74	5.55	5.98	0.44	24	3496889	1904249	1133306	2414634	4071899	578724	4182216	2354483	2622084	3381082	3716187	2228924	935962	2354084	2101584	4643722	2705318	1658808	1385434	1446749	979335
Adenosine diphosphate ribose	C15H23N5O14P2	-	ESI	10.9	12.9	10	0.2	558.0644	558.0605	-6.9	S05602	11.97	11.85	12.07	0.23	16	11889	16939	12257	9814	4739	14418	4212	4214	2719	5598	3537	4201	3051	2743	4244	2031	0	0	0	0	0
Adenosine monophosphate	C10H14N5O7P	+	ESI	9.8	11.8	10	0.2	348.0704	348.0691	-3.7	SQ363_ISTD_0	10.32	10.32	10.57	0.25	16	0	6745	0	7038	0	7258	3433	6995	0	0	0	0	17268	8139	0	530527	18119	1885	2711	1594	8361
Adenosine triphosphate	C10H16N5O13P3	-	ESI	12.5	14.5	10	0.2	505.9885	505.9908	4.5	S05604	13.47	13.36	13.66	0.31	3	0	0	0	1959	0	0	0	0	0	0	0	0	0	0	0	0	1353	1733	0	0	0
Adenylsuccinic acid	C14H18N5O11P	-	ESI	14.5	16.5	10	0.2	462.0668	462.0665	-0.6	S05612	15.75	15.63	15.91	0.28	23	1795	1575	2226	1492	5419	1510	5849	0	5595	2077	1130	6434	1002	1316	1605	5111	1726	1597	1629	1395	1123
ADP	C10H15N5O10P2	-	ESI	11.1	13.1	10	0.2	426.0221	426.0208	-3	SQ363_ISTD_0	12.54	12.54	12.77	0.22	24	51087	36952	62755	36645	63757	43235	102986	28163	99996	53296	26702	69869	47205	35135	38982	76551	39480	62279	30688	39530	27794
Allantoin	C4H6N4O3	-	ESI	9.3	11.3	10	0.2	157.0367	157.0357	-6.3	S05602	10.26	10.2	10.5	0.3	16	227135	500775	403277	242569	235463	247077	10210	20738	6571	278292	191837	356629	145009	162145	131049	0	0	0	0	0	0
Aminoadipic acid	C6H11NO4	-	ESI	5.9	7.9	10	0.2	160.0615	160.0605	-6.7	S05602	6.91	6.72	7.05	0.33	24	193037	366980	242072	171343	165830	218896	113004	89852	29857	152707	128100	149109	138687	53636	140166	2226	2544	2826	5151	2400	2147
Argininosuccinic acid	C10H18N4O6	-	ESI	12.5	14.5	10	0.2	289.1154	289.1142	-4.1	S05602	13.69	13.45	13.78	0.33	20	14898	18026	17745	10465	9465	12358	2614	4275	2984	9529	7191	9154	5924	1586	4454	1750	0	4207	0	1102	0
Beta-Alanine	C3H7NO2	+	ESI	9.8	10.5	10	0.2	90.055	90.0553	3.3	S05601	10.28	10.03	10.49	0.46	24	2451298	1006999	1308882	683615	783798	705001	68595	99390	51276	1021010	1286004	993243	300071	247294	405404	48712	41380	68875	49438	53380	53088
Betaine	C5H11NO2	+	ESI	7	8.2	10	0.2	118.0863	118.0861	-1.1	S05612	8.02	7.78	8.2	0.42	24	285952448	236821232	245634272	279645312	265121504	197455664	14492089	11742045	9783960	309120032	296006560	376492480	86822360	50809104	78178848	1177007	1209978	1507940	1148258	1104414	1057938
Butyrylcarnitine	C11H21NO4	+	ESI	4.2	6.2	10	0.2	232.1543	232.1536	-3.3	S05608	4.26	4.25	4.49	0.23	24	323878	300902	447345	541953	189498	366038	573508	599506	520896	272167	387834	285724	227793	349621	410646	3561	8288	3704	3735	6772	6509
Carbamoyl phosphate	CH4NO5P	-	ESI	27	30	10	0.2	139.9754	139.9742	-8.9	S05612	28.26	28.19	28.49	0.3	24	2476651	2389185	2414980	2311619	2424620	2078127	1261344	795671	1769840	2329620	2055554	2644601	1669859	896691	1516499	135537	9919	415937	15448	110623	9651
Carnosine	C9H14N4O3	+	ESI	10.6	12.6	10	0.2	227.1139	227.1135	-1.6	S05612	11.98	11.9	12.04	0.13	17	133557	107535	142159	166908	144021	114841	0	3708	4875	181749	109685	288734	39123	18351	30599	7175	0	9948	0	1469	0
CDP	C9H15N3O11P2	+	ESI	13	15	10	0.2	404.0255	404.0246	-2.2	S05612	14.6	14.46	14.85	0.39	19	1947	1607	3183	1902	2085	2724	2062	0	2325	0	0	4157	2582	1640	2039	2170	1255	1700	1519	0	0
Choline	C5H13NO	+	ESI	12.1	14.1	10	0.2	104.107	104.1071	1.2	S05601	12.1	12.09	12.29	0.19	24	38841	20002	22179	22288	22923	27310	15948	13703	15396	22114	21191	24689	21220	13898	16218	12114	7522	11504	14177	10368	11372
cis-Aconitic acid	C6H6O6	-	ESI	14.1	16.1	10	0.2	173.0092	173.008	-6.9	S05610	15.16	14.93	15.2	0.27	24	437244	300558	540390	420804	610034	448852	168672	87398	214447	618371	337499	614436	309817	144084	257654	116261	56095	177239	67049	87514	54380
Citric acid	C6H8O7	-	ESI	14.2	16.2	10	0.2	191.0197	191.0187	-5.6	S05612	15.66	15.64	15.9	0.26	24	846000	867237	3469520	1936693	3832518	2176355	1811202	116149	2850623	2766059	344801	5096144	1990282	259069	620397	125503	29750	698659	86901	168739	43611
Citrulline	C6H13N3O3	+	ESI	10.9	12.9	10	0.2	176.103	176.1026	-2.1	S05602	12.24	11.99	12.25	0.26	24	19715272	21911818	20193244	11514263	9156409	10110418	1686542	1637240	2527498	9381638	7605987	13691704	3685628	3699860	4250990	176202	13062	561336	24517	57222	21563
Creatine	C4H9N3O2	+	ESI	10	11.5	10	0.2	132.0768	132.076	-5.3	S05612	10.98	10.76	11.04	0.28	24	201334128	165465424	179704432	195239360	205149776	146613440	49387652	42893176	23039444	225870656	208281664	268145536	77932912	44493100	74707352	5296001	634616	5100500	462890	835411	193498
Creatinine	C4H7N3O	+	ESI	5.2	7.2	10	0.2	114.0662	114.0662	0	S05612	6.62	6.4	6.67	0.27	24	41640816	30568584	34032948	37172676	36974548	25792038	467769	440574	545968	45529580	42548172	60275588	9855099	5935803	9077214	68198	31171	51756	29814	30449	28190
Cyclic AMP	C10H12N5O6P	-	ESI	5.8	7.8	10	0.2	328.0452	328.043	-6.8	S05601	6.97	6.77	7.04	0.27	16	7869	4991	2639	4659	3825	4141	2971	2504	0	5717	6853	3202	3117	0	2583	1445	1993	0	0	0	1493
Cytidine	C9H13N3O5	+	ESI	7.1	9.1	10	0.2	244.0928	244.0921	-3	S05612	8.48	8.3	8.59	0.29	24	240373	225072	178298	214663	233526	123380	192812	157300	59276	332797	297419	474046	74497	50314	81488	33777	18275	20310	14484	16169	10704
Cytidine monophosphate	C9H14N3O8P	+	ESI	11.8	13.8	10	0.2	324.0591	324.0565	-8	S05602	12.39	12.23	12.62	0.39	19	17340	22100	14071	12593	13965	13624	7859	2615	2511	10652	11565	13982	8741	2913	10121	1911	0	2188	0	1403	0
Cytidine triphosphate	C9H16N3O14P3	-	ESI	15	20	10	0.2	481.9772	481.9779	1.3	S05603	17.28	17.28	17.28	0	1	0	0	1725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytosine	C4H5N3O	+	ESI	9	11	10	0.2	112.0505	112.0506	0.1	S05613	9.19	9.01	9.43	0.42	24	28788	30293	24812	28589	15912	25898	20237	36979	15913	14325	15588	9792	37577	30365	16111	18439	23574	17075	20122	14978	16241
D-2-Hydroxyglutaric acid	C5H8O5	-	ESI	11.6	13.6	10	0.2	147.0299	147.0287	-8.4	S05602	12.38	12.13	12.39	0.26	24	3736008	3996615	3811142	3298489	3169480	3321483	1600843	1195355	1066814	2913820	2852990	3103085	1946792	967032	1838056	171913	63146	144490	50659	58451	51074
D-Glucose	C6H12O6	-	ESI	9	11	10	0.2	179.0561	179.0549	-6.6	S05612	11.01	10.76	11.03	0.27	24	8602350	7835408	8421845	8880705	8501694	6570681	78593	37919	230190	10017683	8154054	14037092	3856290	3315610	3369165	426710	16890	305551	23934	22478	8089
D-Glyceraldehyde 3-phosphate	C3H7O6P	-	ESI	13	14	10	0.2	168.9907	168.9898	-5.7	S05612	13.45	13.23	13.69	0.46	18	3333	3559	18493	8177	18473	8434	20759	1617	13930	6094	1189	29562	26833	1530	2046	0	0	1411	0	1068	0
Dihydrofolic acid	C19H21N7O6	+	ESI	0	30	10	0.2	444.1626	444.1586	-9	S05613	8.09	8.09	8.3	0.21	4	0	0	0	0	0	0	0	0	0	0	0	0	14618	0	0	0	0	0	0	4021	2961
Dihydroxyacetone phosphate	C3H7O6P	-	ESI	12	13	10	0.2	168.9907	168.9901	-4.1	S05601	12.44	12.36	12.51	0.15	18	16223	10444	14469	7077	12357	8838	1473	1775	2572	11393	11515	8550	7982	8660	5819	1447	0	1896	0	0	0
D-Ribose 5-phosphate	C5H11O8P	-	ESI	12.4	13.8	10	0.2	229.0119	229.0105	-6.1	S05602	12.69	12.61	12.91	0.3	24	21612	30933	29904	16758	13795	15530	9793	6947	11192	15272	11783	15839	14878	7211	15017	8663	2099	5643	1802	1742	1254
D-Sedoheptulose 7-phosphate	C7H15O10P	-	ESI	12.2	14.2	10	0.2	289.033	289.0315	-5.2	S05603	13.38	13.18	13.42	0.24	24	43928	37616	70370	42983	67498	41643	46317	10911	26767	40670	27160	67129	62677	13251	23927	24416	9941	15411	7803	6828	4451
dTDP	C10H16N2O11P2	-	ESI	11	13	10	0.2	401.0157	401.0146	-2.7	SQ363_ISTD_0	12.02	11.9	12.26	0.36	22	1614	3093	2775	1326	2427	2799	3130	0	3939	4316	0	2867	2361	2302	2348	2313	2085	1581	1550	1874	2233
FAD	C27H33N9O15P2	+	ESI	7.6	9.6	10	0.2	786.1644	786.1671	3.4	S05603	8.69	8.56	8.82	0.26	10	3194	5136	9218	2632	0	2894	3859	0	0	3000	0	2829	2989	0	2496	0	0	0	0	0	0
Folic acid	C19H19N7O6	+	ESI	2	4	10	0.2	442.147	442.1451	-4.2	SQ363_ISTD_0	3.22	3.22	3.22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fructose 1,6-bisphosphate"	C6H14O12P2	-	ESI	14.1	16.1	10	0.2	338.9888	338.987	-5.3	SQ363_B_0	15.86	15.86	15.86	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1081	0	0	0	0	0
Fructose 6-phosphate	C6H13O9P	-	ESI	12.6	13.5	10	0.2	259.0224	259.0214	-3.9	S05612	13.12	12.96	13.34	0.37	24	34388	38853	42424	39395	45472	40362	22789	7539	27350	45010	35604	46158	24348	16886	17614	26862	11369	15982	8132	8545	4600
Fumaric acid	C4H4O4	-	ESI	12.2	14.2	10	0.2	115.0037	115.0025	-10	S05602	13.23	13.01	13.41	0.4	24	83161	193494	66120	99334	60607	49885	64677	50585	36041	47245	49423	74131	27482	83270	105081	125754	50016	45191	23088	23557	17317
Glucose 6-phosphate	C6H13O9P	-	ESI	13.6	14.4	10	0.2	259.0224	259.0212	-4.8	SQ363_ISTD_0	13.71	13.71	13.96	0.24	24	30152	26604	30036	18445	44544	14682	26301	6942	26986	41939	33112	42195	16714	9134	15319	45226	18927	13140	8107	5219	3821
Glutathione	C10H17N3O6S	+	ESI	10	13	10	0.2	308.0911	308.0907	-1.2	SQ363_ISTD_0	10.86	10.64	11.11	0.47	5	0	0	0	0	0	0	3233	0	0	0	0	0	0	0	0	12302	2822	3972	0	0	0
Glycerol 3-phosphate	C3H9O6P	-	ESI	11.5	13	10	0.2	171.0064	171.0052	-7	S05603	12.11	11.87	12.15	0.28	24	1434430	1517692	1763767	1237597	1269350	1496253	207013	66393	249015	1139669	691020	1108918	829205	255971	682214	112310	11911	167795	29176	38300	11432
Glycine	C2H5NO2	+	ESI	10.7	12.7	20	0.2	76.0393	76.0399	7.2	S05612	11.96	11.72	11.99	0.27	24	4225166	4711708	4877140	5048648	4551762	4424728	1099157	902625	790865	5420766	4195625	6108790	2698572	1733634	2424184	384019	16601	449105	27585	92598	16192
Guanidoacetic acid	C3H7N3O2	+	ESI	10.7	12.7	10	0.2	118.0611	118.0611	-0.3	S05612	12.03	11.99	12.1	0.11	24	2490613	1668758	1888442	1980846	1978182	1282625	31974	12747	39490	2678111	2434019	3758790	458817	333533	417117	27710	7010	25187	6601	7376	6241
Guanine	C5H5N5O	+	ESI	7.7	9.7	10	0.2	152.0567	152.0565	-1.5	S05602	8.76	8.69	8.86	0.17	24	526877	869377	536185	133925	187841	135830	120866	80738	49313	113458	128135	117806	122676	61560	149934	11756	7769	3986	13646	11870	9024
Guanosine	C10H13N5O5	+	ESI	7.7	9.7	10	0.2	284.0989	284.0968	-7.4	S05602	9.07	8.86	9.21	0.35	24	50730	52120	39724	35086	23681	35107	29607	24634	22390	47551	23820	16250	30973	9497	29900	21236	18315	4706	5965	6698	5030
Guanosine diphosphate	C10H15N5O11P2	-	ESI	13.8	15.8	10	0.2	442.0171	442.0146	-5.6	SQ363_ISTD_0	15.66	15.55	15.84	0.29	23	2068	1486	2375	1371	1968	2476	2485	1191	2285	1827	1592	2214	1988	1353	1163	1496	0	2260	1418	1458	1272
Guanosine monophosphate	C10H14N5O8P	+	ESI	12.6	14.6	10	0.2	364.0653	364.064	-3.6	S05612	13.76	13.53	13.86	0.33	24	39971	28062	38809	26009	38282	19961	20166	15945	19703	31326	30152	45126	19318	10851	14631	26707	8669	9538	5226	6932	2330
Guanosine triphosphate	C10H16N5O14P3	-	ESI	15	17	10	0.2	521.9834	521.9798	-6.9	S05603	16.67	16.67	16.67	0	1	0	0	1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homocysteine	C4H9NO2S	-	ESI	7.3	9.3	10	0.2	134.0281	134.0268	-9.8	S05610	7.7	7.46	7.93	0.48	5	0	0	0	0	0	0	0	3966	0	37835	0	0	0	16078	6307	0	0	1417	0	0	0
Hypotaurine	C2H7NO2S	+	ESI	10	12	10	0.2	110.027	110.0272	1.2	S05602	11.32	11.27	11.4	0.14	18	256210	424503	381526	322242	289853	293760	354922	287149	4399	310923	204619	219770	257633	153187	237252	5847	0	8135	0	2303	0
Hypoxanthine	C5H4N4O	+	ESI	5.8	7.8	10	0.2	137.0458	137.0455	-2.3	S05602	7.05	6.86	7.29	0.44	23	8713491	8851993	7372422	2953280	3352240	2325241	1837454	1336734	883814	3492927	3611816	3303423	1414386	669045	1534124	4848	0	4370	3660	2730	2385
Inosine	C10H12N4O5	+	ESI	6.4	8.4	10	0.2	269.088	269.0879	-0.7	S05613	7.83	7.61	8.06	0.45	10	0	25657	0	0	0	0	37404	19952	10601	0	0	0	91721	0	49762	12567	4037	3871	0	0	0
Inosinic acid	C10H13N4O8P	+	ESI	11.4	13.4	10	0.2	349.0544	349.0515	-8.4	S05602	12.52	12.29	12.71	0.42	21	9378	14485	11882	6603	7300	8699	8356	5714	7458	9208	3101	4787	8687	2082	5588	5731	2122	2800	0	0	0
L-Acetylcarnitine	C9H17NO4	+	ESI	6.3	8.3	10	0.2	204.123	204.1224	-3.1	S05602	7.74	7.51	7.93	0.42	24	12009180	19449884	16252149	6008086	5836002	7876962	8946704	7787118	3097070	5869948	6332098	6583890	8301630	3349548	9176321	33982	17647	41340	16743	18223	15625
L-Alanine	C3H7NO2	+	ESI	10.6	11.2	10	0.2	90.055	90.0553	3.7	S05601	11.11	10.88	11.13	0.24	24	189015360	171225904	180583808	32212460	31337942	27062270	7040326	5230539	10297571	92586104	79014088	112109664	87945728	60528732	79982040	3371385	54382	9463510	89406	1226086	79745
L-Arginine	C6H14N4O2	+	ESI	18.5	21	10	0.2	175.119	175.1184	-3.1	S05610	20.56	20.52	20.7	0.18	24	144877120	110362664	156537696	143402864	160224576	133179248	46648288	33749856	88285024	171009680	114581584	165497648	103551368	65613416	81023160	68513712	10304294	87324488	41191944	38315276	16395625
L-Asparagine	C4H8N2O3	+	ESI	10.3	12.3	10	0.2	133.0608	133.0604	-2.5	S05612	11.63	11.39	11.65	0.27	24	26322222	24203676	26754316	34739876	33026500	29258754	961527	381961	3286546	35875136	30714224	45228228	12868856	7875574	10533033	2498864	24624	2556068	49233	302007	18204
L-Aspartic acid	C4H7NO4	-	ESI	10.8	12.8	10	0.2	132.0302	132.0289	-9.9	S05612	11.95	11.71	12.17	0.46	18	0	2494246	1355304	12988931	16804898	1574510	0	2767823	1344074	0	0	23583216	0	497733	0	231568	220330	267567	492699	506879	119487
L-Carnitine	C7H15NO3	+	ESI	8.3	10.3	10	0.2	162.1125	162.112	-3.1	S05612	9.81	9.58	9.86	0.27	24	38941608	36896844	32880740	39277776	41336296	33894252	3970927	3106990	2188758	41072624	42397272	47281796	14452906	7643755	13950434	173583	30438	188137	29267	37580	31684
L-Cystathionine	C7H14N2O4S	+	ESI	12.2	14.2	10	0.2	223.0747	223.0727	-8.9	S05612	13.42	13.32	13.59	0.27	21	19150	21338	30313	19373	19782	19853	10719	2658	6068	20471	10308	33603	21248	5135	6825	2487	0	2760	0	1737	2462
