Metabolite,OLFR2 A,OLFR2 B,OLFR2 C,GPI1 A,GPI1 B,GPI1 C,GPI1 D
Beta-Alanine,114611,163068,94408,88602,72498,70009,109152
L-Alanine,11380853,14259663,6092078,8198464,3904808,4252504,8287900
Sarcosine,4690592,5472800,2454159,3209797,1463774,1736468,3455282
Betaine,20929566,23643542,11983701,15410341,8383599,9750013,17642448
L-Valine,9549667,10455290,6332439,5301269,3541244,4039847,9253654
N-Acetyl-L-alanine,156554,226060,283548,133671,112493,126210,251355
4-Hydroxyproline,2644500,3435986,1366015,1691739,660519,931776,1883223
L-Isoleucine,9296117,9983098,5670106,3992595,2818256,3520656,7694833
L-Leucine,9847190,10301719,6472852,5560937,3492390,4382959,8216306
Dihydroxyacetone phosphate,63371,125930,17173,26091,14755,5305,17905
D-Glyceraldehyde 3-phosphate,23235,6793,14909,16149,2232,3583,11774
Ribose 1-phosphate,12487,7064,3125,4591,3259,0,4265
D-Ribose 5-phosphate,15161,17107,7978,10153,3018,2579,11994
Fructose 6-phosphate,171026,102233,59415,177941,86120,44051,148548
Glucose 6-phosphate,90992,89228,24871,1063398,226154,325660,1035317
N-Acetylserine,1401014,1732609,784144,377416,93307,114168,332504
L-Glutamic acid,156021840,183256096,67113024,123904664,55776340,63634652,120623280
Creatine,41478120,42399164,20213320,20660710,13064385,12535251,26112516
L-Lysine,6131371,3849686,4544690,2755675,2481417,5985017,3656806
L-Arginine,14120220,8581256,11170269,6743632,6255392,14799347,8696599
L-Kynurenine,7535,9692,14125,0,5940,0,6571
Inosine,726655,2817933,224534,1470837,360393,102123,2063835
Xanthosine,0,0,0,0,3082,0,0
Cyclic AMP,11905,9128,2835,21914,10919,8511,11160
Orotidylic acid,3870,4253,3607,4571,5263,6501,5208
Inosinic acid,131780,209990,62277,11903,7057,3550,12872
Xanthylic acid,2637,0,0,0,0,0,0
Adenosine,1522840,3355957,1574547,2448662,6815242,5199408,3034374
Guanosine,52894,100385,43113,70161,52332,40621,117551
Thymidine,0,0,0,0,0,0,0
Adenosine monophosphate,1723011,1093848,775397,575003,209472,1338884,504927
Guanosine monophosphate,27196,21959,20539,17622,13176,23029,16155
ADP,119183,74521,27765,41738,22909,14993,35807
Guanosine diphosphate,11622,6956,2944,2152,2547,0,2974
dTDP,3135,4038,2000,0,0,2838,2079
Adenosine triphosphate,50389,11979,0,1574,0,7025,0
Guanosine triphosphate,0,0,0,0,0,0,0
Glutathione,213886,48658,3849,52725,0,0,27482
Argininosuccinic acid,18845,21663,8119,4632,2029,1947,4019
Propionylcarnitine,180043,207329,83816,251323,106244,123483,267855
L-Tryptophan,274053,317435,219389,121062,60187,158627,253275
N-Acetyl-L-phenylalanine,47054,47587,53852,53501,24445,38265,52574
5'-Methylthioadenosine,30253,94424,88546,123277,68991,81083,153259
Saccharopine,0,0,3712,0,0,0,0
Butyrylcarnitine,493478,640981,210408,231898,101497,128723,270106
Valerylcarnitine,35897,45619,32484,33789,24468,30131,38001
Adenylsuccinic acid,0,0,0,0,0,0,0
S-Adenosylhomocysteine,15195,13652,4287,8360,2759,2910,9912
S-Adenosylmethionine,3386838,3024366,1082408,1920760,665366,481437,1621676
Adenosine diphosphate ribose,5059,4327,2563,0,4722,3866,3457
Uridine diphosphate glucose,372187,379315,108628,398432,52299,62794,292785
Palmitic acid,24270914,26296818,4355144,7175828,8188864,11625362,3820641
Uridine diphosphate-N-acetylglucosamine,86177,102001,31772,38155,19176,17981,29856
Folic acid,0,0,0,0,2299,0,0
Dihydrofolic acid,9988,0,0,11556,6740,9376,0
Oxidized glutathione,112227,150845,46121,78449,25974,30526,91346
NAD,495568,636383,172642,371880,113179,145987,344572
NADP,10050,8194,2289,2515,0,0,3819
NADH,0,5702,0,4583,0,0,0
NADPH,0,0,0,0,0,0,0
Acetyl-CoA,0,0,0,0,0,0,0
FAD,8402,0,0,0,0,0,0
Glycine,3790206,5587150,2502213,3411306,2077168,2088342,3968255
Hypotaurine,106987,43926,47543,56212,23857,45554,34326
Taurine,20427266,23447530,10738211,22719820,11111863,13292176,23181282
O-Phosphoethanolamine,3765,1711,3279,1863,1873,2335,2089
Pyruvic acid,115381,107982,109913,125138,101015,128307,145359
Phosphoenolpyruvic acid,25023,26055,7912,18088,7380,3489,11709
L-Lactic acid,9072404,12239637,8193379,3912563,3566489,3792922,4255912
Guanidoacetic acid,2670116,3621787,1475542,1686470,842913,767937,1972769
L-Cysteine,0,0,0,0,0,0,0
L-Serine,4546663,5366122,3072562,2705861,1330138,1318343,2838624
3-Phosphoglyceric acid,190113,65102,121041,225179,41520,44631,140938
Phosphoserine,57344,37834,17760,59076,11302,11427,27001
"2,3-Diphosphoglyceric acid",7621,6794,8305,10228,0,4054,13250
Glycerol 3-phosphate,59611,69060,22684,22526,17503,17334,22753
Phosphocreatine,87661,119850,24315,181517,15703,37624,91293
Uracil,8539,18226,4182,16080,17054,7694,22863
Fumaric acid,2976621,2576302,1241503,79192,480082,503604,929192
Cytosine,17368,23716,15331,15643,16313,9167,7751
Allantoin,10769,4913,2980,4156,0,0,5931
Acetoacetic acid,25472,24675,23101,27673,22719,26954,3362
Succinic acid,1203138,1496470,950282,995188,762412,902077,1332128
L-Malic acid,60358164,75371456,26084212,26761856,11964135,11361945,22532616
Creatinine,5213338,5634062,3226417,3692047,1855287,2277912,4814928
L-Aspartic acid,25772724,23977616,11475692,38067624,15602144,20759584,34343120
L-Asparagine,3015514,3244114,1587059,1970998,844628,894298,1996568
Ureidopropionic acid,1819584,1531983,964153,1096377,453034,598746,1075856
3-Hydroxybutyric acid,18188,20303,24340,16789,25661,15753,33565
Homocysteine,0,0,0,0,2468,0,0
L-Threonine,3259767,3154883,1596365,5790509,1160631,1263540,2742807
L-Glutamine,256149536,270277344,156882384,202768064,93567056,111536424,230400656
L-Methionine,5677805,5739692,2920530,2514059,1480946,1826354,4152830
Ornithine,507786,521919,868784,617520,380043,309736,585109
5-Phosphoribosylamine,0,0,0,0,0,0,0
Phosphoribosyl pyrophosphate,0,0,0,0,0,0,0
Choline,11123939,9225778,12159970,8679777,10134730,3604886,12154656
Phosphorylcholine,6019,4360,3756,4056,8600,4964,4854
Orotic acid,122764,177489,45465,20990,5046,12230,23705
Hypoxanthine,3839154,6434644,1843450,120781,169034,160399,500799
Xanthine,28902,47590,74046,15831,15584,22034,44657
Uric acid,0,0,0,7653,0,0,0
Adenine,309388,292933,765621,264663,1255914,1478366,291346
Guanine,175017,295569,83988,72568,58339,59019,111565
"4,5-Dihydroorotic acid",144425,114142,25754,13464,2382,10286,16030
Oxoglutaric acid,1922870,2014047,1007135,1568965,192014,152399,1293574
Ureidosuccinic acid,1911293,1730251,827260,254963,19612,18068,374667
D-2-Hydroxyglutaric acid,4954080,7345384,2292977,1790327,871315,929516,1820837
L-Proline,209016288,235199296,108623720,151074640,62990872,81468776,154595344
Acetylcysteine,21735,0,0,10326,0,0,0
Pipecolic acid,144636,125256,125709,122591,103263,123291,138883
Aminoadipic acid,113633,139390,53186,60887,39885,44037,67890
L-Cystine,3608,0,2336,2282,0,0,3169
D-Glucose,663437,293667,375756,234590,339544,414913,1228672
Citrulline,686365,1004757,1142232,632493,210245,238548,666050
6-Phosphogluconic acid,0,0,0,0,0,0,0
"Fructose 1,6-bisphosphate",2731,0,0,0,0,0,0
Nicotinic acid,12857,15974,12296,17940,15223,15969,22101
Niacinamide,4846874,5226123,2113028,1707861,1534044,1905686,3866887
Phenol,0,0,26156,0,0,0,0
cis-Aconitic acid,205016,216287,126328,496519,106317,107836,410703
Oxoadipic acid,9193,8827,8329,11462,8809,8571,9659
Citric acid,1230374,940382,684693,2115976,259392,156345,942670
L-Histidine,61142,62220,49852,39983,41878,40226,60910
N-Acetylglutamic acid,91748,133846,35716,80436,28468,39151,75219
N-Acetylglutamine,28631,27530,14187,18090,11251,5667,17361
N-Acetyl-L-methionine,24363,25749,15712,13933,2935,4905,7151
N-Acetylornithine,97001,102925,45540,33759,38093,29484,59121
L-Cystathionine,62888,19418,39394,13731,7764,38204,17465
L-Carnitine,6571916,7430162,3236641,6610327,3003185,3311109,6728284
D-Sedoheptulose 7-phosphate,64367,63424,32212,33959,22072,9119,23536
1-Methylnicotinamide,10253,8924,10341,8800,9448,14677,10603
N6-Acetyl-L-lysine,938290,4110022,870203,4023375,933414,362784,3024841
L-Phenylalanine,5946060,6335562,3567770,2403996,1489049,1917596,4609290
L-Tyrosine,2473163,2698519,1685680,847855,539480,625801,2020696
Uridine,5945,15261,4600,6608,3994,3833,9396
Uridine 5'-monophosphate,108274,81992,57255,48380,38016,108048,60129
Cytidine,75060,104693,58322,126129,78304,93232,163630
Uridine 5'-diphosphate,40880,49289,15292,29981,11252,14016,28593
Cytidine monophosphate,35351,27775,23219,22390,14459,34997,29743
Carnosine,271597,246578,82946,121906,38542,36957,103109
Uridine triphosphate,14514,9955,2867,4255,2820,0,3605
CDP,12119,13395,3669,3586,3808,0,4112
Cytidine triphosphate,2692,3639,0,0,2083,0,0
L-Acetylcarnitine,3103165,3744443,1425876,2124650,819089,1037049,2268498
Pantothenic acid,6851530,7908720,3338241,5940702,2529923,3254970,7327218
Carbamoyl phosphate,949001,901863,813233,1597793,656193,513975,1627394
