,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,OLFR2 A,OLFR2 B,OLFR2 C,GPI1 A,GPI1 B,GPI1 C,GPI1 D,SQ147_B_0,SQ147_B_1,SQ147_B_2,SQ147_B_3,SQ147_B_4,SQ147_B_7,SQ147_B_8,ttest_pval,1/pvalue,OLFR2_Mean,GPI1_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection,OLFR2,GPI1
48,S-Adenosylmethionine,C15H22N6O5S,+,ESI,10.7,12.7,10.0,0.2,399.1445,399.1444,-0.2,S01829,11.69,11.64,11.75,0.11,3386838.0,3024366.0,1082408.0,1920760.0,665366.0,481437.0,1621676.0,127033,174056,92918,163864,81179,173232,66262,0.1290885572763776,7.746620003343965,2497870.6666666665,1172309.75,1.0913449679677423,2.1307258313484696,386518.85714285716,1835090.2083333333,30.0,7,-0.9298416188052032,-0.197632717658735
49,Adenosine diphosphate ribose,C15H23N5O14P2,-,ESI,10.9,12.9,10.0,0.2,558.0644,558.0624,-3.5,S01827,11.82,11.78,11.96,0.19,12929.285714285714,12929.285714285714,12929.285714285714,12929.285714285714,12929.285714285714,12929.285714285714,12929.285714285714,4769,0,0,0,0,2066,0,0.15176111049909793,6.58930339077839,12929.285714285716,12929.285714285714,3.203426503814917e-16,1.0000000000000002,12929.285714285714,12929.285714285714,0.0,0,-0.9726708483222992,0.5918372974260577
50,Uridine diphosphate glucose,C15H24N2O17P2,-,ESI,12.4,14.4,10.0,0.2,565.0477,565.0481,0.6,S01829,13.45,13.42,13.51,0.09,372187.0,379315.0,108628.0,398432.0,52299.0,62794.0,292785.0,0,0,0,2944,0,7928,0,0.5294306046716135,1.888821672143913,286710.0,201577.5,0.5082576096404025,1.4223313613870596,14659.428571428572,244143.75,1.0,7,-0.8542426775818408,-0.2301888472147912
51,Palmitic acid,C16H32O2,-,ESI,1.6,3.6,10.0,0.2,255.233,255.2328,-0.7,S01829,2.72,2.62,2.93,0.3,24270914.0,26296818.0,7558688.285714285,7558688.285714285,8188864.0,11625362.0,7558688.285714285,9395404,3543616,1661154,765656,709724,808137,729915,0.09126365458030586,10.957264472902162,19375473.42857143,8732900.642857142,1.1496987308808009,2.2186755834007013,7558688.285714285,14054187.035714285,342.0,4,-0.8212290715298292,-0.2663515731204732
52,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,+,ESI,11.2,13.2,10.0,0.2,608.0888,608.0872,-2.7,S01820,12.19,12.14,12.26,0.12,86177.0,102001.0,31772.0,38155.0,19176.0,17981.0,29856.0,3937,11437,0,0,0,2108,0,0.05324484859987706,18.781159610665302,73316.66666666667,26292.0,1.4795173052523138,2.7885541863177647,17492.285714285714,49804.333333333336,3.0,7,-0.7384274210580809,-0.35301836655193913
53,Folic acid,C19H19N7O6,+,ESI,2.0,4.0,10.0,0.2,442.147,442.1509,9.0,S01823,4.0,4.0,4.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,-0.2581988897471611
54,Dihydrofolic acid,C19H21N7O6,+,ESI,0.0,30.0,10.0,0.2,444.1626,444.1638,2.7,S01822,7.36,7.18,7.58,0.4,14864.285714285714,14864.285714285714,14864.285714285714,14864.285714285714,14864.285714285714,14864.285714285714,14864.285714285714,0,5003,0,3024,0,0,3323,0.15176111049909793,6.58930339077839,14864.285714285716,14864.285714285714,3.203426503814917e-16,1.0000000000000002,14864.285714285714,14864.285714285714,0.0,0,-0.8660254037844386,-0.8246296790463132
55,Oxidized glutathione,C20H32N6O12S2,+,ESI,13.5,15.5,10.0,0.2,613.1592,613.1592,-0.1,S01829,14.42,14.38,14.48,0.1,112227.0,150845.0,46121.0,78449.0,27547.428571428572,30526.0,91346.0,7022,2233,2654,11273,3246,11228,3288,0.2101555262713038,4.758380699011613,103064.33333333333,56967.107142857145,0.8553441054807919,1.8091902240160727,27547.428571428572,80015.72023809524,1.0,6,-0.6241143969924546,0.1682602950111608
56,NAD,C21H27N7O14P2,+,ESI,9.9,11.9,10.0,0.2,664.1164,664.1158,-0.9,S01829,10.74,10.57,10.74,0.17,495568.0,636383.0,172642.0,371880.0,113179.0,145987.0,344572.0,33177,24866,0,11679,2583,20837,0,0.22865723548640984,4.373358218351392,434864.3333333333,243904.5,0.8342490109342601,1.782928700919144,49918.0,339384.4166666666,3.0,7,-0.6791139134637617,-0.04762099204646057
57,NADP,C21H28N7O17P3,+,ESI,12.7,14.7,10.0,0.2,744.0827,744.0817,-1.4,S01819,13.77,13.65,13.81,0.16,10050.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,0.2855909406452165,3.5015116296783324,10016.666666666666,10000.0,0.0024024902153046137,1.0016666666666667,10000.0,10008.333333333332,0.0,1,-0.9575068046753907,0.26519630251492443
58,NADH,C21H29N7O14P2,-,ESI,9.5,11.5,10.0,0.2,664.1175,664.1145,-4.5,S01828,10.5,10.37,10.73,0.35,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,6.9067477757164824e-18,-0.7745966692414834
59,NADPH,C21H30N7O17P3,-,ESI,13.0,15.0,10.0,0.2,744.0838,744.0784,-7.3,SQ147_B_1,13.88,13.88,13.88,0.0,10959.142857142857,10959.142857142857,10959.142857142857,10959.142857142857,10959.142857142857,10959.142857142857,10959.142857142857,0,2238,0,0,0,0,0,NA,NA,10959.142857142857,10959.142857142857,0.0,1.0,10959.142857142857,10959.142857142857,NA,0,,
60,Acetyl-CoA,C23H38N7O17P3S,+,ESI,8.0,11.0,10.0,0.2,810.1331,810.1411,9.9,SQ147_B_0,10.09,10.09,10.26,0.17,17359.0,17359.0,17359.0,17359.0,17359.0,17359.0,17359.0,13896,0,0,3275,0,0,0,NA,NA,17359.0,17359.0,0.0,1.0,17359.0,17359.0,NA,0,,
61,FAD,C27H33N9O15P2,+,ESI,7.6,9.6,10.0,0.2,786.1644,786.1578,-8.4,S01819,7.69,7.69,7.69,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,-0.8660254037844387,
62,Glycine,C2H5NO2,+,ESI,10.7,12.7,20.0,0.2,76.0393,76.0401,10.5,S01829,11.69,11.64,11.73,0.09,3790206.0,5587150.0,2502213.0,3411306.0,2077168.0,2088342.0,3968255.0,566763,269861,52565,228653,47388,257261,34373,0.3041468667432356,3.287885259867602,3959856.3333333335,2886267.75,0.45624294882862554,1.3719643069612422,634370.2857142857,3423062.041666667,15.0,7,-0.4156291203626831,0.2273130253824953
63,Hypotaurine,C2H7NO2S,-,ESI,10.0,12.0,10.0,0.2,108.0125,108.0115,-9.3,S01819,10.96,10.87,11.12,0.25,106987.0,43926.0,47543.0,56212.0,23857.0,45554.0,34326.0,0,0,0,2221,0,0,0,0.2269396195652128,4.4064584311715675,66152.0,39987.25,0.7262447070921517,1.6543273168322403,10951.857142857143,53069.625,0.0,7,-0.8393588783427763,-0.405911326196854
64,Taurine,C2H7NO3S,-,ESI,10.2,12.2,10.0,0.2,124.0074,124.0063,-9.0,S01829,11.25,11.17,11.25,0.08,20427266.0,23447530.0,10738211.0,22719820.0,11111863.0,13292176.0,23181282.0,19865,5784,0,44058,0,240292,0,0.9030985291983512,1.1072988911715589,18204335.666666668,17576285.25,0.05065190434559127,1.0357328302160247,142856.7142857143,17890310.458333336,21.0,7,-0.7296127247696239,0.07337372640617333
65,O-Phosphoethanolamine,C2H8NO4P,+,ESI,11.4,13.4,10.0,0.2,142.0264,142.0266,1.6,S01830,12.48,12.39,12.71,0.32,15844.0,15844.0,15844.0,15844.0,15844.0,15844.0,15844.0,4418,4321,2970,1927,0,0,0,NA,NA,15844.0,15844.0,0.0,1.0,15844.0,15844.0,NA,0,-0.22637345682132487,0.6611746008043939
66,Pyruvic acid,C3H4O3,-,ESI,8.0,12.0,20.0,0.2,87.0088,87.0076,-13.3,S01829,10.93,10.71,11.09,0.38,311356.85714285716,311356.85714285716,311356.85714285716,311356.85714285716,311356.85714285716,311356.85714285716,311356.85714285716,178841,132914,88456,69911,77063,84225,71756,NA,NA,311356.85714285716,311356.85714285716,0.0,1.0,311356.85714285716,311356.85714285716,NA,0,-0.7123843509730257,0.6217131710356737
67,Phosphoenolpyruvic acid,C3H5O6P,-,ESI,13.6,15.6,10.0,0.2,166.9751,166.9744,-4.2,S01826,14.65,14.61,14.75,0.14,25023.0,26055.0,21241.428571428572,21241.428571428572,21241.428571428572,21241.428571428572,21241.428571428572,3263,12280,3095,2133,2152,1615,1692,0.06634852902645173,15.071924195958006,24106.476190476194,21241.428571428572,0.18253998124600257,1.1348801757571683,21241.428571428572,22673.95238095238,0.0,2,-0.8395954925883465,-0.47506562163230076
68,L-Lactic acid,C3H6O3,-,ESI,6.2,8.2,20.0,0.2,89.0244,89.0233,-12.5,S01820,7.04,6.95,7.09,0.14,9072404.0,12239637.0,8193379.0,3912563.0,3839649.571428571,3839649.571428571,4255912.0,1981578,4289580,668361,518171,629316,471880,376963,0.002363389815141177,423.1210584024054,9835140.0,3961943.5357142854,1.311737269372064,2.482402869032018,3839649.571428571,6898541.767857143,7246.0,5,-0.20651521930375522,0.563918878732823
69,Guanidoacetic acid,C3H7N3O2,+,ESI,10.7,12.7,10.0,0.2,118.0611,118.0615,3.1,S01826,11.65,11.64,11.75,0.12,2670116.0,3621787.0,1475542.0,1686470.0,842913.0,767937.0,1972769.0,76071,143378,3024,27213,4713,35565,0,0.099709083806953,10.029176498463295,2589148.3333333335,1317522.25,0.9746502942196099,1.9651647881721417,134270.2857142857,1953335.2916666667,38.0,7,-0.5554034922023213,0.16768460440419963
70,L-Cysteine,C3H7NO2S,+,ESI,13.0,17.0,10.0,0.2,122.027,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,
71,L-Serine,C3H7NO3,+,ESI,10.8,12.8,10.0,0.2,106.0499,106.0504,5.0,S01829,11.83,11.78,11.88,0.1,4546663.0,5366122.0,3072562.0,2705861.0,1330138.0,1318343.0,2838624.0,575588,417706,93623,256162,57330,173169,36887,0.028594721562228573,34.97148932972731,4328449.0,2048241.5,1.079464333217171,2.1132512938537764,700199.2857142857,3188345.25,236.0,7,-0.634160116761346,0.05955806924476
72,3-Phosphoglyceric acid,C3H7O7P,-,ESI,13.0,15.0,10.0,0.2,184.9857,184.9851,-3.2,S01829,14.22,14.12,14.24,0.12,190113.0,145213.0,145213.0,225179.0,145213.0,145213.0,145213.0,42266,67715,42178,50359,28033,59259,25687,0.8584584568932898,1.1648787334671273,160179.66666666666,165204.5,-0.04456196229380985,0.9695841618519269,145213.0,162692.0833333333,0.0,2,-0.5515138449853818,-0.3668516010052033
73,Phosphoserine,C3H8NO6P,+,ESI,11.5,13.5,10.0,0.2,186.0162,186.0165,1.8,S01829,13.39,13.17,13.44,0.28,57344.0,37834.0,31740.571428571428,59076.0,31740.571428571428,31740.571428571428,31740.571428571428,32839,3779,0,3753,2806,7551,0,0.7331617182434009,1.3639555573031323,42306.19047619047,38574.428571428565,0.1332239965666688,1.096741858349289,31740.571428571428,40440.30952380952,0.0,3,-0.9999661666064285,-0.5515973380350949
74,"2,3-Diphosphoglyceric acid",C3H8O10P2,-,ESI,12.0,15.0,10.0,0.2,264.952,264.9497,-8.7,S01829,14.83,14.75,14.99,0.24,10840.428571428572,10840.428571428572,10840.428571428572,10840.428571428572,10840.428571428572,10840.428571428572,13250.0,0,0,0,0,0,1961,0,0.43658806102038156,2.2904886534524733,10840.428571428572,11442.82142857143,-0.07802102366224697,0.9473562651568825,10840.428571428572,11141.625,0.0,1,0.4520061074077558,0.28347230256620676
75,Glycerol 3-phosphate,C3H9O6P,-,ESI,11.5,13.0,10.0,0.2,171.0064,171.0056,-4.4,S01826,11.88,11.83,11.99,0.16,59611.0,69060.0,50437.0,50437.0,50437.0,50437.0,50437.0,17994,40366,10577,7857,7030,7606,2923,0.09444140188536408,10.588576408616118,59702.666666666664,50437.0,0.24331290553047188,1.1837077277924275,50437.0,55069.83333333333,1.0,2,-0.7533905062656545,0.02191202429062619
76,Phosphocreatine,C4H10N3O5P,-,ESI,11.2,13.2,10.0,0.2,210.0285,210.0281,-2.1,S01829,12.16,12.1,12.17,0.07,87661.0,119850.0,24315.0,181517.0,15703.0,37624.0,91293.0,0,0,0,0,0,3457,0,0.9348933185832491,1.0696407602050408,77275.33333333333,81534.25,-0.07739824566030716,0.9477653051733882,11481.571428571428,79404.79166666666,0.0,7,-0.6516153218184026,-0.43495319718338427
77,Uracil,C4H4N2O2,+,ESI,5.4,7.4,10.0,0.2,113.0346,113.035,4.0,SQ147_B_0,6.54,6.48,6.77,0.29,219073.85714285713,219073.85714285713,219073.85714285713,219073.85714285713,219073.85714285713,219073.85714285713,219073.85714285713,436441,27511,5372,5782,4106,4465,4162,NA,NA,219073.85714285713,219073.85714285713,0.0,1.0,219073.85714285713,219073.85714285713,NA,0,-0.30304950007687637,0.22699134226750403
78,Fumaric acid,C4H4O4,-,ESI,12.2,14.2,10.0,0.2,115.0037,115.0026,-9.8,S01819,13.19,13.0,13.27,0.27,2976621.0,2576302.0,1241503.0,107007.57142857142,480082.0,503604.0,929192.0,43639,50621,20172,29697,13607,53377,15238,0.01470948713800803,67.98333555872844,2264808.6666666665,504971.39285714284,2.1651156099281015,4.485023703723717,107007.57142857142,1384890.0297619046,422.0,6,-0.9549023809517063,0.9568660737112702
79,Cytosine,C4H5N3O,+,ESI,9.0,11.0,10.0,0.2,112.0505,112.0509,3.5,SQ147_B_0,9.09,9.05,9.29,0.24,60779.71428571428,60779.71428571428,60779.71428571428,60779.71428571428,60779.71428571428,60779.71428571428,60779.71428571428,24534,14935,14849,17747,16801,15945,13675,NA,NA,60779.71428571428,60779.71428571428,0.0,1.0,60779.71428571428,60779.71428571428,NA,0,-0.23289031127065574,-0.9068248918442564
80,Allantoin,C4H6N4O3,+,ESI,9.3,11.3,10.0,0.2,159.0513,159.0513,0.2,S01829,10.27,10.25,10.36,0.12,10769.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,0.28559094064520013,3.501511629678533,10256.333333333334,10000.0,0.036515055771731426,1.0256333333333334,10000.0,10128.166666666668,0.0,1,-0.960226563558743,0.22909974077739514
81,Acetoacetic acid,C4H6O3,-,ESI,8.3,10.3,10.0,0.2,101.0244,101.0235,-9.3,SQ147_B_0,9.42,9.18,9.65,0.47,108667.42857142857,108667.42857142857,108667.42857142857,108667.42857142857,108667.42857142857,108667.42857142857,108667.42857142857,63768,42832,25113,21271,29804,23968,23468,NA,NA,108667.42857142857,108667.42857142857,0.0,1.0,108667.42857142857,108667.42857142857,NA,0,-0.9825677029640651,-0.7765349398199154
82,Succinic acid,C4H6O4,-,ESI,11.3,13.3,10.0,0.2,117.0193,117.0183,-9.1,S01829,12.36,12.12,12.42,0.29,1203138.0,1496470.0,950282.0,995188.0,762412.0,902077.0,1332128.0,339971,443731,99340,77096,50930,53863,63386,0.31296018041817414,3.1952946814633427,1216630.0,997951.25,0.2858492375096332,1.2191276878504838,493564.42857142864,1107290.625,4.0,7,-0.46252367356644786,0.6125976723404101
83,L-Malic acid,C4H6O5,-,ESI,12.2,14.2,10.0,0.2,133.0142,133.0131,-8.5,S01820,13.14,13.12,13.23,0.11,60358164.0,75371456.0,26084212.0,26761856.0,11964135.0,11361945.0,22532616.0,2090792,2176449,752162,1502384,546010,2828893,484582,0.04044304665534834,24.72612927809078,53937944.0,18155138.0,1.5709226338202056,2.970946516627965,4459116.571428571,36046541.0,2648.0,7,-0.6783410900669514,-0.22291862010446759
84,Creatinine,C4H7N3O,+,ESI,5.2,7.2,10.0,0.2,114.0662,114.0666,3.6,S01829,6.27,6.23,6.29,0.07,5213338.0,5634062.0,3226417.0,3692047.0,1855287.0,2277912.0,4814928.0,1486978,1955653,134056,46249,78633,48242,75693,0.19132950945187407,5.226585291860241,4691272.333333333,3160043.5,0.5700348350918077,1.484559416138839,1649501.7142857146,3925657.9166666665,30.0,7,-0.7725649024588627,0.3614104219133801
85,L-Aspartic acid,C4H7NO4,-,ESI,10.8,12.8,10.0,0.2,132.0302,132.0291,-8.2,S01829,11.91,11.85,11.94,0.09,25772724.0,23977616.0,11475692.0,38067624.0,15602144.0,20759584.0,34343120.0,2003996,1912521,397517,1022628,247187,1426953,105098,0.39992313905715554,2.500480473216839,20408677.333333332,27193118.0,-0.4140588965001637,0.7505089093988168,3059671.4285714286,23800897.666666664,79.0,7,-0.9178784873866059,-0.07241256651632962
86,L-Asparagine,C4H8N2O3,+,ESI,10.3,12.3,10.0,0.2,133.0608,133.0609,1.2,S01829,11.43,11.38,11.45,0.07,3015514.0,3244114.0,1587059.0,1970998.0,844628.0,894298.0,1996568.0,124394,111259,24152,63733,17954,56149,16042,0.09447293633226411,10.58504201121653,2615562.3333333335,1426623.0,0.8745170143464047,1.83339419968228,187292.7142857143,2021092.6666666667,39.0,7,-0.7953413238113949,0.025344323785843552
87,Ureidopropionic acid,C4H8N2O3,-,ESI,10.4,12.4,10.0,0.2,131.0462,131.0451,-8.4,S01829,11.4,11.34,11.54,0.2,1819584.0,1531983.0,964153.0,1096377.0,453034.0,598746.0,1075856.0,49644,34390,13973,48284,10547,28050,10403,0.07832234133678607,12.767749060258552,1438573.3333333333,806003.25,0.8357812052221609,1.784823241510916,93696.14285714286,1122288.2916666665,26.0,7,-0.9825803165087074,0.03302220014124714
88,3-Hydroxybutyric acid,C4H8O3,-,ESI,5.7,7.7,10.0,0.2,103.0401,103.0391,-9.8,S01830,5.71,5.71,5.96,0.25,52858.42857142857,52858.42857142857,52858.42857142857,52858.42857142857,52858.42857142857,52858.42857142857,52858.42857142857,29654,23413,10702,5703,8601,11414,10516,NA,NA,52858.42857142857,52858.42857142857,0.0,1.0,52858.42857142857,52858.42857142857,NA,0,0.9841189096785966,0.6240177925621896
89,Homocysteine,C4H9NO2S,-,ESI,7.3,9.3,10.0,0.2,134.0281,134.0268,-9.8,S01823,7.34,7.34,7.34,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,-0.2581988897471611
90,L-Threonine,C4H9NO3,-,ESI,9.5,11.5,10.0,0.2,118.051,118.0498,-9.8,S01830,10.62,10.51,10.68,0.17,3259767.0,3154883.0,1596365.0,5790509.0,1160631.0,1263540.0,2742807.0,407349,115616,16138,213364,22593,215925,14845,0.9613135453596692,1.040243326256114,2670338.3333333335,2739371.75,-0.03682251838501919,0.9747995442142285,441070.0,2704855.041666667,3.0,7,-0.8927993113168611,-0.5406423424531033
91,L-Glutamine,C5H10N2O3,+,ESI,10.1,12.1,10.0,0.2,147.0764,147.0764,-0.2,S01829,11.11,11.03,11.14,0.11,256149536.0,270277344.0,156882384.0,202768064.0,93567056.0,111536424.0,230400656.0,5543800,3132032,244711,8683651,682643,8058738,439140,0.22845286551434674,4.377270548778476,227769754.66666666,159568050.0,0.5134043731783856,1.4274145398572375,11489163.57142857,193668902.3333333,1210.0,7,-0.8031929479283381,0.1937842557388276
92,L-Methionine,C5H11NO2S,+,ESI,6.8,8.8,10.0,0.2,150.0583,150.0584,0.5,S01829,7.82,7.76,7.84,0.08,5677805.0,5739692.0,2920530.0,2514059.0,1480946.0,1826354.0,4152830.0,2305368,405597,27690,27209,15281,27072,10737,0.08093881054803169,12.35501230162714,4779342.333333333,2493547.25,0.9386125674643143,1.9166840866293322,1218123.1428571427,3636444.7916666665,86.0,7,-0.8562561242842159,0.5724575006502363
93,Ornithine,C5H12N2O2,+,ESI,15.3,17.3,10.0,0.2,133.0972,133.0973,1.3,S01829,16.53,16.51,16.76,0.25,927533.7142857143,927533.7142857143,927533.7142857143,927533.7142857143,927533.7142857143,927533.7142857143,927533.7142857143,267589,559604,244900,366225,257766,260493,184335,0.15176111049909793,6.58930339077839,927533.7142857142,927533.7142857143,-1.6017132519074588e-16,0.9999999999999999,927533.7142857143,927533.7142857143,6.0,0,0.8827885296443174,-0.14287801618730667
94,5-Phosphoribosylamine,C5H12NO7P,-,ESI,11.5,13.5,10.0,0.2,228.0279,228.0301,9.9,S01826,11.59,11.59,11.59,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,
95,Phosphoribosyl pyrophosphate,C5H13O14P3,-,ESI,15.0,18.0,10.0,0.2,388.9445,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,
96,Choline,C5H13NO,+,ESI,12.1,14.1,10.0,0.2,104.107,104.1075,5.2,S01829,13.43,13.4,13.65,0.25,12775989.57142857,12775989.57142857,12775989.57142857,12775989.57142857,12775989.57142857,12775989.57142857,12775989.57142857,9702909,6594587,1142013,3710864,976108,7181236,479592,0.15176111049909793,6.58930339077839,12775989.571428573,12775989.57142857,3.203426503814917e-16,1.0000000000000002,12775989.57142857,12775989.57142857,84.0,0,0.3481156717143665,0.13780351460196405
97,Phosphorylcholine,C5H15NO4P,+,ESI,10.4,12.4,10.0,0.2,185.0811,185.0807,-2.3,SQ147_B_0,11.96,11.71,12.15,0.44,35250.57142857143,35250.57142857143,35250.57142857143,35250.57142857143,35250.57142857143,35250.57142857143,35250.57142857143,21548,4386,5289,9122,4440,10466,3667,NA,NA,35250.57142857143,35250.57142857143,0.0,1.0,35250.57142857143,35250.57142857143,NA,0,-0.965633398231545,-0.0790471192839724
